timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687533027406,21,/api/v2/item-pocket/key,200,OK,Poke Api - run 1-5,text,true,,2150,137,10,10,https://pokeapi.co/api/v2/item-pocket/key,21,0,0
1687533027427,21,/api/v2/location/sunyshore-city,200,OK,Poke Api - run 1-5,text,true,,1630,145,10,10,https://pokeapi.co/api/v2/location/sunyshore-city,21,0,0
1687533027448,30,/api/v2/location-area/sunyshore-city-area,200,OK,Poke Api - run 1-5,text,true,,15669,155,10,10,https://pokeapi.co/api/v2/location-area/sunyshore-city-area,30,0,0
1687533027479,27,/api/v2/pal-park-area/sea,200,OK,Poke Api - run 1-5,text,true,,7994,139,10,10,https://pokeapi.co/api/v2/pal-park-area/sea,27,0,0
1687533027506,22,/api/v2/region/paldea,200,OK,Poke Api - run 1-5,text,true,,6603,135,10,10,https://pokeapi.co/api/v2/region/paldea,22,0,0
1687533027529,19,/api/v2/encounter-method/purple-flowers,200,OK,Poke Api - run 1-5,text,true,,1502,153,10,10,https://pokeapi.co/api/v2/encounter-method/purple-flowers,19,0,0
1687533027548,20,/api/v2/encounter-condition/starter,200,OK,Poke Api - run 1-5,text,true,,1805,149,10,10,https://pokeapi.co/api/v2/encounter-condition/starter,20,0,0
1687533027568,22,/api/v2/encounter-condition-value/item-claw-fossil,200,OK,Poke Api - run 1-5,text,true,,1496,164,10,10,https://pokeapi.co/api/v2/encounter-condition-value/item-claw-fossil,21,0,0
1687533028253,22,/api/v2/berry/iapapa,200,OK,Poke Api - run 1-9,text,true,,1917,134,10,10,https://pokeapi.co/api/v2/berry/iapapa,22,0,0
1687533028275,21,/api/v2/berry-firmness/very-soft,200,OK,Poke Api - run 1-9,text,true,,2218,146,10,10,https://pokeapi.co/api/v2/berry-firmness/very-soft,21,0,0
1687533028296,20,/api/v2/berry-flavor/spicy,200,OK,Poke Api - run 1-9,text,true,,4120,140,10,10,https://pokeapi.co/api/v2/berry-flavor/spicy,19,0,0
1687533028408,18,/api/v2/contest-type/cool,200,OK,Poke Api - run 1-9,text,true,,1756,139,10,10,https://pokeapi.co/api/v2/contest-type/cool,18,0,0
1687533028426,22,/api/v2/contest-effect/1,200,OK,Poke Api - run 1-9,text,true,,1451,138,10,10,https://pokeapi.co/api/v2/contest-effect/1,22,0,0
1687533028449,21,/api/v2/super-contest-effect/1,200,OK,Poke Api - run 1-9,text,true,,2357,144,10,10,https://pokeapi.co/api/v2/super-contest-effect/1,20,0,0
1687533028470,32,/api/v2/item/ultra-ball,200,OK,Poke Api - run 1-9,text,true,,19483,137,10,10,https://pokeapi.co/api/v2/item/ultra-ball,31,0,0
1687533028503,24,/api/v2/item-attribute/countable,200,OK,Poke Api - run 1-9,text,true,,5917,146,10,10,https://pokeapi.co/api/v2/item-attribute/countable,24,0,0
1687533028527,19,/api/v2/item-category/plates,200,OK,Poke Api - run 1-9,text,true,,2582,142,10,10,https://pokeapi.co/api/v2/item-category/plates,19,0,0
1687533028547,19,/api/v2/item-fling-effect/burn,200,OK,Poke Api - run 1-9,text,true,,1316,144,10,10,https://pokeapi.co/api/v2/item-fling-effect/burn,19,0,0
1687533028567,23,/api/v2/item-pocket/medicine,200,OK,Poke Api - run 1-9,text,true,,2068,142,10,10,https://pokeapi.co/api/v2/item-pocket/medicine,22,0,0
1687533028590,21,/api/v2/location/eterna-forest,200,OK,Poke Api - run 1-9,text,true,,1620,144,10,10,https://pokeapi.co/api/v2/location/eterna-forest,21,0,0
1687533028611,43,/api/v2/location-area/eterna-forest-area,200,OK,Poke Api - run 1-9,text,true,,30321,154,10,10,https://pokeapi.co/api/v2/location-area/eterna-forest-area,41,0,0
1687533028654,25,/api/v2/pal-park-area/forest,200,OK,Poke Api - run 1-9,text,true,,12574,142,10,10,https://pokeapi.co/api/v2/pal-park-area/forest,25,0,0
1687533028679,27,/api/v2/region/unova,200,OK,Poke Api - run 1-9,text,true,,11205,134,10,10,https://pokeapi.co/api/v2/region/unova,26,0,0
1687533028706,21,/api/v2/encounter-method/walk,200,OK,Poke Api - run 1-9,text,true,,1511,143,10,10,https://pokeapi.co/api/v2/encounter-method/walk,21,0,0
1687533028727,20,/api/v2/encounter-condition/swarm,200,OK,Poke Api - run 1-9,text,true,,1572,147,10,10,https://pokeapi.co/api/v2/encounter-condition/swarm,20,0,0
1687533028747,26,/api/v2/encounter-condition-value/swarm-yes,200,OK,Poke Api - run 1-9,text,true,,1531,157,10,10,https://pokeapi.co/api/v2/encounter-condition-value/swarm-yes,26,0,0
1687533029156,25,/api/v2/berry/pinap,200,OK,Poke Api - run 1-8,text,true,,1926,133,10,10,https://pokeapi.co/api/v2/berry/pinap,25,0,0
1687533029182,21,/api/v2/berry-firmness/soft,200,OK,Poke Api - run 1-8,text,true,,2811,141,10,10,https://pokeapi.co/api/v2/berry-firmness/soft,21,0,0
1687533029204,23,/api/v2/berry-flavor/dry,200,OK,Poke Api - run 1-8,text,true,,4207,138,10,10,https://pokeapi.co/api/v2/berry-flavor/dry,22,0,0
1687533029227,22,/api/v2/contest-type/beauty,200,OK,Poke Api - run 1-8,text,true,,1756,141,10,10,https://pokeapi.co/api/v2/contest-type/beauty,22,0,0
1687533029249,28,/api/v2/contest-effect/3,200,OK,Poke Api - run 1-8,text,true,,1489,138,10,10,https://pokeapi.co/api/v2/contest-effect/3,28,0,0
1687533029277,35,/api/v2/super-contest-effect/3,404,Not Found,Poke Api - run 1-8,text,false,,993,144,10,10,https://pokeapi.co/api/v2/super-contest-effect/3,35,0,0
1687533029313,69,/api/v2/item/poke-ball,200,OK,Poke Api - run 1-8,text,true,,19864,136,10,10,https://pokeapi.co/api/v2/item/poke-ball,55,0,0
1687533029414,29,/api/v2/item-attribute/holdable,200,OK,Poke Api - run 1-8,text,true,,12778,145,10,10,https://pokeapi.co/api/v2/item-attribute/holdable,29,0,0
1687533029444,20,/api/v2/item-category/training,200,OK,Poke Api - run 1-8,text,true,,1846,144,10,10,https://pokeapi.co/api/v2/item-category/training,20,0,0
1687533029464,18,/api/v2/item-fling-effect/paralyze,200,OK,Poke Api - run 1-8,text,true,,1326,148,10,10,https://pokeapi.co/api/v2/item-fling-effect/paralyze,18,0,0
1687533029484,25,/api/v2/item-pocket/machines,200,OK,Poke Api - run 1-8,text,true,,1726,142,10,10,https://pokeapi.co/api/v2/item-pocket/machines,25,0,0
1687533029509,21,/api/v2/location/chargestone-cave,200,OK,Poke Api - run 1-8,text,true,,2053,147,10,10,https://pokeapi.co/api/v2/location/chargestone-cave,21,0,0
1687533029530,27,/api/v2/location-area/pastoria-city-area,200,OK,Poke Api - run 1-8,text,true,,15664,154,10,10,https://pokeapi.co/api/v2/location-area/pastoria-city-area,27,0,0
1687533029557,28,/api/v2/pal-park-area/field,200,OK,Poke Api - run 1-8,text,true,,20934,141,10,10,https://pokeapi.co/api/v2/pal-park-area/field,27,0,0
1687533029585,22,/api/v2/region/johto,200,OK,Poke Api - run 1-8,text,true,,7230,134,10,10,https://pokeapi.co/api/v2/region/johto,22,0,0
1687533029607,22,/api/v2/encounter-method/surf,200,OK,Poke Api - run 1-8,text,true,,1423,143,10,10,https://pokeapi.co/api/v2/encounter-method/surf,22,0,0
1687533029629,20,/api/v2/encounter-condition/radar,200,OK,Poke Api - run 1-8,text,true,,1596,147,10,10,https://pokeapi.co/api/v2/encounter-condition/radar,20,0,0
1687533029650,24,/api/v2/encounter-condition-value/time-night,200,OK,Poke Api - run 1-8,text,true,,1500,158,10,10,https://pokeapi.co/api/v2/encounter-condition-value/time-night,24,0,0
1687533029982,23,/api/v2/berry/razz,200,OK,Poke Api - run 1-2,text,true,,1951,132,10,10,https://pokeapi.co/api/v2/berry/razz,23,0,0
1687533030005,43,/api/v2/berry-firmness/hard,200,OK,Poke Api - run 1-2,text,true,,2645,141,10,10,https://pokeapi.co/api/v2/berry-firmness/hard,43,0,0
1687533030048,20,/api/v2/berry-flavor/sweet,200,OK,Poke Api - run 1-2,text,true,,4117,140,10,10,https://pokeapi.co/api/v2/berry-flavor/sweet,20,0,0
1687533030069,41,/api/v2/contest-type/cute,200,OK,Poke Api - run 1-2,text,true,,1760,139,10,10,https://pokeapi.co/api/v2/contest-type/cute,41,0,0
1687533030110,27,/api/v2/contest-effect/5,200,OK,Poke Api - run 1-2,text,true,,1453,138,10,10,https://pokeapi.co/api/v2/contest-effect/5,26,0,0
1687533030137,21,/api/v2/super-contest-effect/5,200,OK,Poke Api - run 1-2,text,true,,5923,144,10,10,https://pokeapi.co/api/v2/super-contest-effect/5,21,0,0
1687533030158,30,/api/v2/item/premier-ball,200,OK,Poke Api - run 1-2,text,true,,18911,139,10,10,https://pokeapi.co/api/v2/item/premier-ball,30,0,0
1687533030189,21,/api/v2/item-attribute/consumable,200,OK,Poke Api - run 1-2,text,true,,5790,147,10,10,https://pokeapi.co/api/v2/item-attribute/consumable,20,0,0
1687533030210,25,/api/v2/item-category/choice,200,OK,Poke Api - run 1-2,text,true,,1508,142,10,10,https://pokeapi.co/api/v2/item-category/choice,25,0,0
1687533030236,33,/api/v2/item-fling-effect/poison,200,OK,Poke Api - run 1-2,text,true,,1321,146,10,10,https://pokeapi.co/api/v2/item-fling-effect/poison,33,0,0
1687533030269,28,/api/v2/item-pocket/battle,200,OK,Poke Api - run 1-2,text,true,,1867,140,10,10,https://pokeapi.co/api/v2/item-pocket/battle,28,0,0
1687533030297,32,/api/v2/location/spring-path,200,OK,Poke Api - run 1-2,text,true,,1540,142,10,10,https://pokeapi.co/api/v2/location/spring-path,32,0,0
1687533030329,61,/api/v2/location-area/valley-windworks-area,200,OK,Poke Api - run 1-2,text,true,,36239,157,10,10,https://pokeapi.co/api/v2/location-area/valley-windworks-area,47,0,0
1687533030424,43,/api/v2/pal-park-area/mountain,200,OK,Poke Api - run 1-2,text,true,,18243,144,10,10,https://pokeapi.co/api/v2/pal-park-area/mountain,42,0,0
1687533030468,47,/api/v2/region/alola,200,OK,Poke Api - run 1-2,text,true,,9591,134,10,10,https://pokeapi.co/api/v2/region/alola,47,0,0
1687533030516,22,/api/v2/encounter-method/headbutt,200,OK,Poke Api - run 1-2,text,true,,1484,147,10,10,https://pokeapi.co/api/v2/encounter-method/headbutt,22,0,0
1687533030538,22,/api/v2/encounter-condition/weekday,200,OK,Poke Api - run 1-2,text,true,,1783,149,10,10,https://pokeapi.co/api/v2/encounter-condition/weekday,22,0,0
1687533030560,22,/api/v2/encounter-condition-value/slot2-ruby,200,OK,Poke Api - run 1-2,text,true,,1533,158,10,10,https://pokeapi.co/api/v2/encounter-condition-value/slot2-ruby,22,0,0
